Date,Fear_Greed,Mkt_sp500,Mkt_sp125,Stock_Strength,Stock_breadth,Put_Call,Volatility,Volatility_50,Safe_Haven,Junk_Bonds
2025-11-24,13.7428571428571,6705.12,6450.94664,-0.858297968843027,794.364746021201,0.800452792612187,20.52,18.373,-2.37610326061461,1.37503769156048
2025-11-25,17.0285714285714,6765.88,6457.77632,-0.816608407967341,815.47360719513,0.793456390275857,18.56,18.417,-2.44541242634421,1.36728374452589
2025-11-26,18.7714285714286,6812.61,6464.98368,-0.660631365605627,852.75290456732,0.783085333749748,17.19,18.4464,-0.921223305665238,1.3763835538434
2025-11-27,19.0,,,-0.366682905880689,903.671528402163,,,,,1.3763835538434
2025-11-28,18.6285714285714,6849.09,6472.28888,-0.115360726875034,969.574691899135,0.706851353340061,16.35,18.4594,-0.418269228415232,1.37662790584074
2025-12-01,21.6285714285714,6812.63,6479.02696,0.0705779258198589,1012.32462051139,0.684608089466547,17.24,18.4952,-0.618591907626994,1.36352694776555
2025-12-01,21.6285714285714,6812.63,6479.02696,0.0705779258198589,1012.32462051139,0.684608089466547,17.24,18.4952,-0.618591907626994,1.36352694776555
2025-12-01,21.6285714285714,6812.63,6479.02696,0.0705779258198589,1012.32462051139,0.684607807735109,17.24,18.4952,-0.618591907626994,1.36352694776555
2025-12-01,21.6285714285714,6812.63,6479.02696,0.0705779258198589,1012.32462051139,0.684607807735109,17.24,18.4952,-0.618591907626994,1.36352694776555
2025-12-01,21.6285714285714,6812.63,6479.02696,0.0705779258198589,1012.32462051139,0.684608089466547,17.24,18.4952,-0.618591907626994,1.36352694776555
2025-12-01,21.6285714285714,6812.63,6479.02696,0.0705779258198589,1012.32462051139,0.684608089466547,17.24,18.4952,-0.618591907626994,1.36352694776555
2025-12-01,21.6285714285714,6812.63,6479.02696,0.0705779258198589,1012.32462051139,0.684607807735109,17.24,18.4952,-0.618591907626994,1.36352694776555
2025-12-01,21.6285714285714,6812.63,6479.02696,0.0705779258198589,1012.32462051139,0.684607807735109,17.24,18.4952,-0.618591907626994,1.36352694776555
2025-12-01,21.6285714285714,6812.63,6479.02696,0.0705779258198589,1012.32462051139,0.684608089466547,17.24,18.4952,-0.618591907626994,1.36352694776555
2025-12-01,21.6285714285714,6812.63,6479.02696,0.0705779258198589,1012.32462051139,0.684608089466547,17.24,18.4952,-0.618591907626994,1.36352694776555
2025-12-01,21.6285714285714,6812.63,6479.02696,0.0705779258198589,1012.32462051139,0.684607807735109,17.24,18.4952,-0.618591907626994,1.36352694776555
2025-12-01,21.6285714285714,6812.63,6479.02696,0.0705779258198589,1012.32462051139,0.684607807735109,17.24,18.4952,-0.618591907626994,1.36352694776555
2025-12-01,21.6285714285714,6812.63,6479.02696,0.0705779258198589,1012.32462051139,0.684608089466547,17.24,18.4952,-0.618591907626994,1.36352694776555
2025-12-01,21.6285714285714,6812.63,6479.02696,0.0705779258198589,1012.32462051139,0.684608089466547,17.24,18.4952,-0.618591907626994,1.36352694776555
2025-12-01,21.6285714285714,6812.63,6479.02696,0.0705779258198589,1012.32462051139,0.684607807735109,17.24,18.4952,-0.618591907626994,1.36352694776555
2025-12-01,21.6285714285714,6812.63,6479.02696,0.0705779258198589,1012.32462051139,0.684607807735109,17.24,18.4952,-0.618591907626994,1.36352694776555
2025-12-02,21.6285714285714,,,0.32894304365738497,1035.06478365416,,16.68,18.5068,,1.36352694776555
2025-12-02,21.6285714285714,,,0.32894304365738497,1035.06478365416,,16.68,18.5068,,1.36352694776555
2025-12-02,21.6285714285714,,,0.32894304365738497,1035.06478365416,,16.68,18.5068,,1.36352694776555
2025-12-02,21.6285714285714,,,0.32894304365738497,1035.06478365416,,16.68,18.5068,,1.36352694776555
2025-12-02,21.6285714285714,,,0.32894304365738497,1035.06478365416,,16.68,18.5068,,1.36352694776555
2025-12-02,21.6285714285714,,,0.32894304365738497,1035.06478365416,,16.68,18.5068,,1.36352694776555
2025-12-02,21.6285714285714,,,0.32894304365738497,1035.06478365416,,16.68,18.5068,,1.36352694776555
2025-12-02,21.6285714285714,,,0.32894304365738497,1035.06478365416,,16.68,18.5068,,1.36352694776555
